요양기관명,종별코드명,읍면동,일반입원실일반병상수,응급실병상수,수술실병상수,물리치료실병상수
영주진단방사선과의원,의원,가흥동,0,0,0,10
영주치과의원,치과의원,하망동,0,0,0,0
영풍제일의원,의원,풍기읍,0,0,0,14
외갓집한의원,한의원,영주동,0,0,0,0
우리들약국,약국,휴천동,0,0,0,0
우리약국,약국,영주동,0,0,0,0
우리치과의원,치과의원,영주동,0,0,0,0
우리한의원,한의원,영주동,0,0,0,0
우성한의원,한의원,영주동,0,0,0,0
유생한의원,한의원,영주동,0,0,0,0
유한약국,약국,하망동,0,0,0,0
은광의원,의원,부석면,0,0,0,0
의료법인 영주의료재단 더명품재활병원,병원,가흥동,131,0,0,11
의료법인 영주의료재단 명품요양병원,요양병원,가흥동,216,0,0,4
의료법인 영풍의료재단 풍기성심요양병원,요양병원,풍기읍,90,10,0,1
의료법인기호의료재단 청하요양병원,요양병원,가흥동,204,0,0,10
의료법인일맥의료재단 영주인애가한방병원,한방병원,가흥동,49,0,0,8
의료법인청봉의료재단성누가병원,병원,영주동,166,10,2,10
의료법인태훈의료재단새희망병원,정신병원,가흥동,0,1,0,0
이강욱내과의원,의원,영주동,0,0,0,0
이기훈정형외과의원,의원,영주동,0,0,1,16
이정일산부인과의원,의원,영주동,0,0,1,0
이찬응산부인과의원,의원,하망동,0,0,1,0
인애가의원,의원,가흥동,0,0,0,12
자연한의원,한의원,하망동,0,0,0,0
장춘당약국,약국,영주동,0,0,0,0
재경 약국,약국,봉현면,0,0,0,0
제2경북약국,약국,하망동,0,0,0,0
제일신경외과의원,의원,하망동,19,0,0,16
중앙약국,약국,하망동,0,0,0,0
지성안과의원,의원,영주동,0,0,0,0
참사랑약국,약국,조암동,0,0,0,0
최내과의원,의원,하망동,0,0,0,0
최치과의원,치과의원,풍기읍,0,0,0,0
태백산약국,약국,영주동,0,0,0,0
태춘당약국,약국,풍기읍,0,0,0,0
태형한의원,한의원,하망동,0,0,0,0
파란의원,의원,영주동,0,0,0,0
파티마약국,약국,영주동,0,0,0,0
평화약국,약국,상망동,0,0,0,0
풍기소백산약국,약국,풍기읍,0,0,0,0
풍기신세계약국,약국,풍기읍,0,0,0,0
풍기이정한의원,한의원,풍기읍,0,0,0,0
풍기치과의원,치과의원,풍기읍,0,0,0,0
풍기한의원,한의원,풍기읍,29,0,0,0
풍성한치과의원,치과의원,휴천동,0,0,0,0
하나삼성의원,의원,풍기읍,0,0,0,0
하영욱정형외과의원,의원,하망동,0,0,0,0
한마음치과의원,치과의원,영주동,0,0,0,0
한성약국,약국,하망동,0,0,0,0
한솔약국,약국,영주동,0,0,0,0
해맑은약국,약국,가흥동,0,0,0,0
행복한세상의원,의원,영주동,0,0,0,12
허남근소아과의원,의원,영주동,0,0,0,0
허찬욱이비인후과의원,의원,하망동,0,0,0,0
현대치과의원,치과의원,영주동,0,0,0,0
현대한의원,한의원,영주동,0,0,0,0
혜민서한의원,한의원,가흥동,0,0,0,0
황치과의원,치과의원,풍기읍,0,0,0,0
희망온누리약국,약국,하망동,0,0,0,0
