region,pop_2020,pop_2025,change,change_rate
가흥동,26940,24931,-2009,-7.46
휴천동,22964,23082,118,0.51
풍기읍,10640,10056,-584,-5.49
영주동,7650,7826,176,2.3
상망동,7761,6859,-902,-11.62
하망동,6329,5693,-636,-10.05
안정면,3051,2726,-325,-10.65
부석면,3116,2717,-399,-12.8
봉현면,2739,2462,-277,-10.11
이산면,2370,2141,-229,-9.66
장수면,2206,1994,-212,-9.61
순흥면,2021,1848,-173,-8.56
문수면,1969,1787,-182,-9.24
단산면,1906,1682,-224,-11.75
평은면,1457,1358,-99,-6.79
