sigun,year,item,age_group,value,kind
영주시,2022,동반가구원수 (명),70세 이상,13,귀촌
영주시,2023,동반가구원수 (명),계,137,귀촌
영주시,2023,동반가구원수 (명),0 - 29세,45,귀촌
영주시,2023,동반가구원수 (명),30 - 39세,15,귀촌
영주시,2023,동반가구원수 (명),40 - 49세,20,귀촌
영주시,2023,동반가구원수 (명),50 - 59세,21,귀촌
영주시,2023,동반가구원수 (명),60 - 69세,26,귀촌
영주시,2023,동반가구원수 (명),70세 이상,10,귀촌
영주시,2024,동반가구원수 (명),계,125,귀촌
영주시,2024,동반가구원수 (명),0 - 29세,41,귀촌
영주시,2024,동반가구원수 (명),30 - 39세,13,귀촌
영주시,2024,동반가구원수 (명),40 - 49세,9,귀촌
영주시,2024,동반가구원수 (명),50 - 59세,26,귀촌
영주시,2024,동반가구원수 (명),60 - 69세,31,귀촌
영주시,2024,동반가구원수 (명),70세 이상,5,귀촌
