구분,읍면동,리,주택유형,등급판정결과,건축면적(㎡),등급,활용가능
동,하망동,,단독,1등급,51.25,1,Y
동,하망동,,단독,1등급,39.18,1,Y
동,하망동,,단독,2등급,40.04,2,Y
동,하망동,,단독,1등급,79.98,1,Y
동,하망동,,단독,1등급,39.81,1,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,3등급,,3,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,단독,3등급,38.04,3,N
동,영주동,,그 외,3등급,,3,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,단독,3등급,19.24,3,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,단독,1등급,44.86,1,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,단독,2등급,40.0,2,Y
동,영주동,,단독,2등급,32.39,2,Y
동,영주동,,그 외,3등급,,3,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,1등급,,1,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,단독,3등급,31.67,3,N
동,영주동,,단독,4등급,33.87,4,N
동,영주동,,그 외,4등급,,4,N
동,영주동,,그 외,2등급,,2,Y
동,영주동,,그 외,2등급,,2,Y
동,영주동,,단독,2등급,65.3,2,Y
동,영주동,,단독,3등급,59.59,3,N
동,영주동,,그 외,2등급,,2,Y
동,영주동,,단독,1등급,87.4,1,Y
동,영주동,,단독,2등급,37.45,2,Y
동,영주동,,단독,3등급,45.89,3,N
동,영주동,,단독,1등급,23.38,1,Y
동,영주동,,그 외,4등급,,4,N
동,영주동,,단독,3등급,48.4,3,N
동,영주동,,단독,1등급,80.18,1,Y
동,영주동,,그 외,1등급,,1,Y
동,영주동,,그 외,3등급,,3,N
동,휴천동,,단독,2등급,57.7,2,Y
동,휴천동,,단독,4등급,43.0,4,N
동,휴천동,,그 외,3등급,,3,N
동,휴천동,,단독,2등급,68.44,2,Y
동,휴천동,,단독,3등급,51.7,3,N
동,휴천동,,그 외,2등급,105.8,2,Y
동,휴천동,,그 외,1등급,,1,Y
동,휴천동,,단독,1등급,65.07,1,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,2등급,44.62,2,Y
동,휴천동,,그 외,4등급,,4,N
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,2등급,28.76,2,Y
동,휴천동,,단독,2등급,45.1,2,Y
동,휴천동,,그 외,3등급,,3,N
동,휴천동,,단독,3등급,42.0,3,N
동,휴천동,,단독,4등급,42.0,4,N
동,휴천동,,단독,1등급,68.45,1,Y
동,휴천동,,단독,1등급,52.2,1,Y
동,휴천동,,단독,1등급,71.5,1,Y
동,휴천동,,단독,2등급,75.97,2,Y
동,휴천동,,그 외,4등급,,4,N
동,휴천동,,단독,2등급,96.12,2,Y
동,휴천동,,단독,2등급,59.13,2,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,1등급,52.1,1,Y
동,휴천동,,단독,1등급,43.97,1,Y
동,휴천동,,그 외,1등급,,1,Y
동,휴천동,,그 외,4등급,,4,N
동,휴천동,,단독,1등급,39.45,1,Y
동,휴천동,,단독,3등급,41.92,3,N
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,1등급,23.14,1,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,1등급,41.23,1,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,그 외,3등급,,3,N
동,휴천동,,단독,2등급,52.89,2,Y
동,휴천동,,단독,2등급,67.9,2,Y
동,휴천동,,단독,3등급,79.43,3,N
동,휴천동,,단독,2등급,49.23,2,Y
동,휴천동,,단독,2등급,24.44,2,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,2등급,46.84,2,Y
동,휴천동,,단독,1등급,41.71,1,Y
동,휴천동,,단독,2등급,33.63,2,Y
동,휴천동,,단독,1등급,51.99,1,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,그 외,1등급,,1,Y
동,휴천동,,단독,1등급,62.35,1,Y
동,휴천동,,그 외,2등급,,2,Y
동,휴천동,,단독,2등급,41.44,2,Y
동,휴천동,,단독,1등급,45.33,1,Y
동,휴천동,,단독,1등급,79.81,1,Y
동,휴천동,,그 외,1등급,,1,Y
동,휴천동,,단독,1등급,86.5,1,Y
동,휴천동,,단독,1등급,60.99,1,Y
동,휴천동,,그 외,1등급,63.63,1,Y
동,휴천동,,단독,1등급,92.97,1,Y
동,휴천동,,단독,2등급,34.41,2,Y
동,휴천동,,그 외,1등급,,1,Y
동,휴천동,,단독,1등급,64.36,1,Y
동,휴천동,,단독,1등급,50.23,1,Y
동,휴천동,,그 외,1등급,,1,Y
동,휴천동,,단독,2등급,42.3,2,Y
동,휴천동,,그 외,4등급,,4,N
동,휴천동,,그 외,4등급,,4,N
동,휴천동,,그 외,4등급,,4,N
동,휴천동,,단독,2등급,44.88,2,Y
동,휴천동,,단독,3등급,70.4,3,N
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,단독,1등급,41.58,1,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,단독,1등급,66.08,1,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,1등급,45.6,1,Y
동,가흥동,,단독,1등급,,1,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,단독,2등급,,2,Y
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,단독,2등급,50.85,2,Y
동,가흥동,,단독,1등급,,1,Y
동,가흥동,,단독,1등급,78.48,1,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,2등급,46.56,2,Y
동,가흥동,,단독,1등급,52.2,1,Y
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,단독,1등급,74.07,1,Y
동,가흥동,,단독,2등급,42.7,2,Y
동,가흥동,,단독,1등급,37.94,1,Y
동,가흥동,,단독,3등급,61.04,3,N
동,가흥동,,단독,2등급,44.95,2,Y
동,가흥동,,단독,2등급,,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,단독,1등급,42.9,1,Y
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,단독,2등급,88.18,2,Y
동,가흥동,,단독,2등급,43.95,2,Y
동,가흥동,,단독,2등급,52.8,2,Y
동,가흥동,,단독,3등급,124.74,3,N
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,단독,1등급,69.64,1,Y
동,가흥동,,단독,1등급,53.52,1,Y
동,가흥동,,단독,1등급,66.42,1,Y
동,가흥동,,단독,2등급,41.88,2,Y
동,가흥동,,단독,2등급,54.6,2,Y
동,가흥동,,단독,1등급,135.43,1,Y
동,가흥동,,단독,2등급,133.23,2,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,3등급,,3,N
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,2등급,35.97,2,Y
동,가흥동,,단독,3등급,116.09,3,N
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,단독,2등급,45.0,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,단독,2등급,52.0,2,Y
동,가흥동,,단독,1등급,59.05,1,Y
동,가흥동,,단독,1등급,82.89,1,Y
동,가흥동,,그 외,2등급,103.8,2,Y
동,가흥동,,단독,1등급,62.52,1,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,그 외,4등급,,4,N
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,3등급,129.29,3,N
동,가흥동,,그 외,1등급,,1,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,3등급,47.3,3,N
동,가흥동,,단독,2등급,52.0,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,2등급,36.0,2,Y
동,가흥동,,그 외,2등급,,2,Y
동,가흥동,,단독,4등급,29.0,4,N
동,가흥동,,그 외,2등급,,2,Y
